project,bug,top_hits,top_index
Chart,19,['CategoryPlot#getRangeAxisIndex'],[1]
Chart,2,['DatasetUtilities#iterateRangeBounds'],[2]
Chart,1,['AbstractCategoryItemRenderer#getLegendItems'],[3]
Chart,4,['XYPlot#getDataRange'],[2]
Chart,5,['XYSeries#addOrUpdate'],[7]
Chart,8,['Week#Week'],[2]
Chart,13,[],[]
Chart,18,['DefaultKeyedValues#removeValue'],[17]
Chart,26,['Axis#drawLabel'],[15]
Jfreechart,8,['DefaultPieDataset#setValue'],[61]
Jfreechart,10,['DefaultPieDataset#setValue'],[61]
Jfreechart,13,['DefaultPieDataset#setValue'],[61]
Jfreechart,14,['DefaultPieDataset#setValue'],[61]
Jfreechart,16,['DefaultPieDataset#setValue'],[61]
Jfreechart,20,['DefaultPieDataset#setValue'],[61]
Jfreechart,24,['DefaultPieDataset#setValue'],[61]
Jfreechart,28,['DefaultPieDataset#setValue'],[61]
Jfreechart,29,[],[]
