project,bug,top_hits,top_index
Math,2,[],[]
Math,10,['DSCompiler#atan2'],[1]
Math,12,[],[]
Math,13,[],[]
Math,14,"['Weight#Weight', 'AbstractLeastSquaresOptimizer#squareRoot']","[10, 9]"
Math,23,['BrentOptimizer#doOptimize'],[1]
Math,24,['BrentOptimizer#doOptimize'],[1]
Math,26,['Fraction#Fraction'],[2]
Math,28,['SimplexSolver#getPivotRow'],[4]
Math,45,['OpenMapRealMatrix#OpenMapRealMatrix'],[178]
Math,46,['Complex#divide'],[2]
Math,48,['BaseSecantSolver#doSolve'],[1]
Math,50,['BaseSecantSolver#doSolve'],[1]
Math,53,['Complex#add'],[15]
Math,60,[],[]
Math,64,['LevenbergMarquardtOptimizer#doOptimize'],[2]
Math,74,[],[]
Math,75,['Frequency#getPct'],[8]
Math,87,[],[]
Math,88,[],[]
Math,89,['Frequency#addValue'],[1]
Math,94,['MathUtils#gcd'],[12]
