project,bug,top_hits,top_index
Math,2,['HypergeometricDistribution#getNumericalMean'],[8]
Math,10,['DSCompiler#atan2'],[2]
Math,12,[],[]
Math,13,[],[]
Math,14,['Weight#Weight'],[19]
Math,23,['BrentOptimizer#doOptimize'],[6]
Math,24,['BrentOptimizer#doOptimize'],[15]
Math,26,['Fraction#Fraction'],[2]
Math,28,['SimplexSolver#getPivotRow'],[7]
Math,45,['OpenMapRealMatrix#OpenMapRealMatrix'],[1]
Math,46,['Complex#divide'],[1]
Math,48,['BaseSecantSolver#doSolve'],[16]
Math,50,['BaseSecantSolver#doSolve'],[1]
Math,53,['Complex#add'],[1]
Math,60,['NormalDistributionImpl#cumulativeProbability'],[10]
Math,64,['LevenbergMarquardtOptimizer#doOptimize'],[1]
Math,74,['EmbeddedRungeKuttaIntegrator#integrate'],[125]
Math,75,['Frequency#getPct'],[1]
Math,87,['SimplexTableau#getBasicRow'],[28]
Math,88,['SimplexTableau#getSolution'],[1]
Math,89,['Frequency#addValue'],[1]
Math,94,['MathUtils#gcd'],[1]
