class,method,line,bug
src/main/java/com/alibaba/fastjson/parser/deserializer/JavaBeanDeserializer.java,createInstance,1396,Fastjson_32
src/main/java/com/alibaba/fastjson/parser/deserializer/JavaBeanDeserializer.java,createInstance,1397,Fastjson_32
src/main/java/com/alibaba/fastjson/parser/deserializer/JavaBeanDeserializer.java,createInstance,1398,Fastjson_32
src/main/java/com/alibaba/fastjson/parser/deserializer/JavaBeanDeserializer.java,createInstance,1400,Fastjson_32
src/main/java/com/alibaba/fastjson/parser/deserializer/JavaBeanDeserializer.java,createInstance,1403,Fastjson_32
src/main/java/com/alibaba/fastjson/parser/deserializer/JavaBeanDeserializer.java,createInstance,1404,Fastjson_32
src/main/java/com/alibaba/fastjson/parser/deserializer/JavaBeanDeserializer.java,,6,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertDO.java,,10,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertDO.java,,11,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertDO.java,,12,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertDO.java,,24,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertDO.java,,34,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertDO.java,,36,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertDO.java,,40,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertDO.java,,42,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertDO.java,,46,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertDO.java,,52,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertDO.java,,53,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertDO.java,,54,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertDO.java,,55,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertDO.java,,56,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertDO.java,,57,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertDO.java,,58,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/ConvertEnum.java,,8,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,23,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,24,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,25,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,26,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,36,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,38,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,39,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,40,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,41,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,42,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,43,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,44,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,45,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,46,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,47,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,48,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,56,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,57,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,61,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,62,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,63,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,65,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,66,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,67,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,68,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,69,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,70,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,72,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,73,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,javaBeanDeserializerTest,74,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,,14,Fastjson_32
src/test/java/com/alibaba/fastjson/deserializer/javabean/JavaBeanConvertTest.java,,15,Fastjson_32
