project,bug,top_hits,top_index
Closure,2,['TypeCheck#checkInterfaceConflictProperties'],[9]
Closure,8,['CollapseVariableDeclarations#canBeRedeclared'],[34]
Closure,10,['NodeUtil#apply'],[7]
Closure,12,[],[]
Closure,17,[],[]
Closure,19,['ChainableReverseAbstractInterpreter#declareNameInScope'],[7]
Closure,21,['CheckSideEffects#visit'],[1]
Closure,31,['Compiler#parseInputs'],[1]
Closure,33,[],[]
Closure,48,[],[]
Closure,52,[],[]
Closure,59,['Compiler#initOptions'],[228]
Closure,60,[],[]
Closure,61,['NodeUtil#functionCallHasSideEffects'],[4]
Closure,62,['LightweightMessageFormatter#format'],[1]
Closure,64,[],[]
Closure,65,[],[]
Closure,66,['TypeCheck#visit'],[2]
Closure,68,"['JsDocInfoParser#parseBasicTypeExpression', 'JsDocInfoParser#parse', 'JsDocInfoParser#parseFunctionType']","[5, 1, 15]"
Closure,73,[],[]
Closure,75,['NodeUtil#isStrWhiteSpaceChar'],[8]
Closure,76,[],[]
Closure,80,[],[]
Closure,82,['JSType#isEmptyType'],[9]
Closure,85,[],[]
Closure,90,['FunctionType#resolveInternal'],[330]
Closure,91,[],[]
Closure,92,[],[]
Closure,99,[],[]
Closure,104,[],[]
Closure,107,[],[]
Closure,113,['ProcessClosurePrimitives#processRequireCall'],[1]
Closure,114,[],[]
Closure,115,['FunctionInjector#prepare'],[284]
Closure,118,[],[]
Closure,120,[],[]
Closure,121,[],[]
Closure,125,['TypeCheck#visitNew'],[430]
Closure,128,[],[]
Closure,130,[],[]
Closure,131,['TokenStream#stringToKeyword'],[11]
Closure,133,[],[]
