project,bug,top_hits,top_index
Fastjson,1,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,2,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,3,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,4,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,5,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,6,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,7,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,8,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,9,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,10,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,11,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,12,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,13,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,14,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,15,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,16,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,17,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,18,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,19,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,20,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,21,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,22,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,23,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,24,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,25,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,26,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,27,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,28,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,29,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,30,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,31,['JSON#toJSONString'],[1]
Fastjson,32,['JavaBeanDeserializer#createInstance'],[1]
Fastjson,33,['JavaBeanDeserializer#createInstance'],[1]
Fastjson,34,['JavaBeanDeserializer#createInstance'],[1]
Fastjson,35,['JavaBeanDeserializer#createInstance'],[2]
Fastjson,36,['JavaBeanDeserializer#createInstance'],[14]
Fastjson,37,['ASMDeserializerFactory#_deserialze'],[3]
Fastjson,38,"['JavaBeanDeserializer#parseField', 'ASMDeserializerFactory#_deserialze']","[12, 3]"
Fastjson,39,['ASMDeserializerFactory#_deserialze'],[4]
Fastjson,40,['ASMDeserializerFactory#_deserialze'],[3]
Fastjson,41,['ASMDeserializerFactory#_deserialze'],[3]
Fastjson,42,['ParserConfig#getFieldFromCache'],[3]
Fastjson,43,['ParserConfig#getFieldFromCache'],[28]
Fastjson,44,['ParserConfig#getFieldFromCache'],[150]
Fastjson,45,['ParserConfig#getFieldFromCache'],[7]
Fastjson,46,['ParserConfig#getFieldFromCache'],[33]
Fastjson,47,['ParserConfig#getFieldFromCache'],[33]
Fastjson,48,['ParserConfig#getFieldFromCache'],[74]
Fastjson,49,['ParserConfig#getFieldFromCache'],[24]
Fastjson,50,['JSONPath#getPropertyValue'],[4]
Fastjson,51,['JSONPath#getPropertyValue'],[3]
Fastjson,52,['JSONPath#getPropertyValue'],[1]
Fastjson,53,['SerializeConfig#getEnumValueField'],[9]
Fastjson,54,"['JavaBeanDeserializer#getFieldDeserializer', 'JavaBeanDeserializer#deserialze']","[49, 35]"
Fastjson,55,"['JavaBeanDeserializer#getFieldDeserializer', 'JavaBeanDeserializer#deserialze']","[49, 35]"
Fastjson,56,"['JavaBeanDeserializer#parseField', 'JavaBeanDeserializer#isSetFlag', 'JavaBeanDeserializer#getFieldDeserializer', 'JavaBeanDeserializer#deserialze', 'JavaBeanDeserializer#createInstance', 'JavaBeanDeserializer#JavaBeanDeserializer']","[77, 78, 75, 11, 71, 57]"
Fastjson,57,"['JavaBeanDeserializer#getFieldDeserializer', 'JavaBeanDeserializer#deserialze']","[48, 35]"
Fastjson,58,"['JavaBeanDeserializer#isSetFlag', 'JavaBeanDeserializer#getFieldDeserializer', 'JavaBeanDeserializer#deserialze', 'JavaBeanDeserializer#JavaBeanDeserializer']","[116, 113, 8, 103]"
Fastjson,59,"['JavaBeanDeserializer#getFieldDeserializer', 'JavaBeanDeserializer#deserialze', 'JavaBeanDeserializer#createInstance']","[52, 11, 48]"
Fastjson,60,"['JavaBeanDeserializer#isSetFlag', 'JavaBeanDeserializer#getFieldDeserializer', 'JavaBeanDeserializer#deserialze', 'JavaBeanDeserializer#JavaBeanDeserializer']","[118, 115, 72, 114]"
Fastjson,61,"['JavaBeanDeserializer#getFieldDeserializer', 'JavaBeanDeserializer#deserialze']","[52, 28]"
Fastjson,62,['TypeUtils#castToBigInteger'],[1]
Fastjson,63,['TypeUtils#castToBigInteger'],[1]
Fastjson,64,['TypeUtils#castToBigInteger'],[1]
Fastjson,65,['TypeUtils#castToBigInteger'],[1]
Fastjson,66,[],[]
Fastjson,67,['JSONPath#extract'],[2]
Fastjson,68,['JSONPath#extract'],[38]
Fastjson,69,['TypeUtils#getCollectionItemType'],[66]
Fastjson,70,['TypeUtils#makeParameterizedType'],[39]
Fastjson,71,[],[]
Fastjson,72,[],[]
Fastjson,73,[],[]
Fastjson,74,"['JSONScanner#scanFieldString', 'ParserConfig#createJavaBeanDeserializer']","[103, 8]"
Fastjson,75,"['JSONScanner#scanFieldString', 'ParserConfig#createJavaBeanDeserializer']","[98, 47]"
Fastjson,76,['JavaBeanDeserializer#createInstance'],[1]
Fastjson,77,['JavaBeanDeserializer#createInstance'],[2]
Fastjson,78,"['JSONPath#extract', 'JSONScanner#skipString', 'JSONScanner#seekObjectToField', 'JSONScanner#skipObject']","[2, 20, 1, 3]"
Fastjson,79,"['JSONPath#extract', 'JSONScanner#skipString', 'JSONScanner#seekObjectToField', 'JSONScanner#skipObject']","[2, 14, 3, 1]"
Fastjson,80,"['JSONPath#extract', 'JSONScanner#skipString', 'JSONScanner#seekObjectToField', 'JSONScanner#skipObject']","[2, 14, 3, 1]"
Fastjson,81,"['JSONPath#extract', 'JSONScanner#skipString', 'JSONScanner#seekObjectToField']","[3, 20, 1]"
Fastjson,82,"['JSONPath#extract', 'JSONScanner#skipString', 'JSONScanner#seekObjectToField', 'JSONScanner#skipObject']","[3, 7, 2, 1]"
Fastjson,83,"['JSONPath#extract', 'JSONScanner#skipString', 'JSONScanner#seekObjectToField', 'JSONScanner#skipObject']","[4, 13, 1, 2]"
Fastjson,84,[],[]
Fastjson,85,['Jdk8DateCodec#parseLocalDate'],[1]
Fastjson,86,['JodaCodec#parseLocalDate'],[1]
Fastjson,87,['JodaCodec#parseLocalDate'],[1]
Fastjson,88,[],[]
